Customer_ID,Age,Gender,City,Annual_Income,Customer_Segment,Purchase_Frequency,Avg_Order_Value,Total_Annual_Spend,Preferred_Category,Device_Used,Payment_Method,Avg_Session_Duration_Min,Pages_Per_Session,Cart_Abandonment_Rate,Items_Returned,Return_Rate,Discount_Usage,Review_Given,Avg_Rating_Given,Days_Since_Last_Purchase,Wishlist_Items,Newsletter_Subscribed,Membership_Tier
CUST00038,32,Female,Chennai,49730,Occasional,1,2949.33,2582.2,Electronics,Tablet,COD,14.6,4.8,0.55,0,0.11,Never,0,,132,0,Yes,None
CUST00039,35,Male,Delhi,42433,Churned,2,101.48,199.05,Clothing,Mobile,Debit Card,14.5,9.1,0.87,0,0.23,Sometimes,0,,174,2,No,None
CUST00040,18,Female,Pune,56128,Regular,7,452.51,2671.01,Home & Kitchen,Mobile,Debit Card,17.0,3.5,0.31,0,0.05,Rarely,0,,30,5,Yes,Bronze
CUST00041,30,Female,Ahmedabad,62137,Regular,6,692.87,4924.44,Books,Tablet,Debit Card,11.5,9.3,0.41,0,0.13,Sometimes,1,3.9,112,7,No,Silver
CUST00042,31,Male,Hyderabad,106393,Premium,15,1304.56,22526.7,Beauty,Desktop,Debit Card,19.7,1.5,0.12,0,0.06,Always,0,,31,4,Yes,Silver
CUST00043,32,Male,Delhi,54421,Regular,4,610.49,2500.39,Sports,Mobile,Credit Card,13.4,6.0,0.38,0,0.15,Sometimes,0,,89,6,No,None
CUST00044,18,Male,Ahmedabad,36683,Regular,6,3894.86,26032.36,Sports,Desktop,Credit Card,12.0,6.9,0.45,0,0.12,Never,1,3.4,141,0,Yes,Silver
CUST00045,34,Male,Kolkata,51714,Regular,8,3390.56,22208.51,Electronics,Mobile,Wallet,9.1,6.7,0.4,0,0.05,Sometimes,0,,108,19,Yes,Bronze
CUST00046,37,Female,Delhi,39982,Regular,9,422.84,3293.24,Beauty,Desktop,UPI,10.3,1.8,0.37,1,0.13,Rarely,0,,180,8,Yes,Bronze
CUST00047,33,Female,Bangalore,42322,Occasional,3,338.25,1124.55,Home & Kitchen,Desktop,UPI,3.1,9.1,0.53,0,0.13,Rarely,0,,341,0,No,Bronze
CUST00048,25,Male,Chennai,30703,Churned,2,217.19,350.35,Beauty,Desktop,Debit Card,3.5,8.5,0.78,0,0.17,Always,1,3.3,97,1,No,None
CUST00049,31,Male,Mumbai,40041,Occasional,3,849.42,2142.19,Clothing,Mobile,Credit Card,10.2,2.4,0.6,0,0.1,Sometimes,0,,118,1,No,None
CUST00050,30,Male,Pune,117567,Premium,16,8546.14,137455.67,Electronics,Mobile,Credit Card,12.3,4.6,0.18,0,0.04,Always,0,,31,3,No,Silver
CUST00051,36,Female,Bangalore,34590,Occasional,1,267.46,306.08,Books,Desktop,Debit Card,5.5,4.9,0.5,0,0.12,Always,0,,112,5,Yes,None
CUST00052,35,Female,Delhi,45165,Occasional,1,2953.88,2461.88,Electronics,Mobile,UPI,3.1,7.1,0.63,0,0.07,Sometimes,1,3.5,84,0,No,None
CUST00053,43,Female,Mumbai,25976,Occasional,5,476.65,2318.18,Beauty,Mobile,Credit Card,13.9,4.1,0.51,0,0.09,Sometimes,0,,276,2,No,None
CUST00054,36,Female,Mumbai,35966,Regular,9,2088.55,22075.37,Home & Kitchen,Mobile,UPI,1.0,7.8,0.34,1,0.12,Sometimes,1,3.5,87,10,Yes,None
CUST00055,27,Male,Mumbai,20957,Occasional,2,713.08,1601.46,Clothing,Desktop,UPI,8.0,5.6,0.52,0,0.1,Sometimes,1,3.0,349,3,No,None
CUST00056,33,Other,Mumbai,36988,Regular,8,1012.05,6594.21,Home & Kitchen,Tablet,UPI,8.4,5.3,0.41,1,0.17,Never,1,4.8,176,15,Yes,None
CUST00057,35,Male,Kolkata,42361,Regular,10,1340.46,11313.26,Clothing,Mobile,Credit Card,13.4,6.0,0.34,0,0.08,Always,0,,69,12,Yes,Bronze
CUST00058,29,Male,Delhi,28278,Churned,2,1274.19,2688.29,Electronics,Mobile,Credit Card,2.4,5.9,0.67,0,0.17,Sometimes,1,4.5,97,3,No,None
CUST00059,41,Female,Kolkata,38025,Regular,5,241.81,1019.55,Books,Desktop,Wallet,2.2,8.3,0.37,0,0.16,Sometimes,1,4.0,49,7,No,Bronze
CUST00060,23,Male,Bangalore,41975,Regular,5,850.34,3575.42,Beauty,Tablet,Debit Card,5.2,7.9,0.34,0,0.13,Never,0,,155,5,Yes,None
CUST00061,28,Female,Pune,20430,Occasional,5,4242.33,19891.26,Electronics,Desktop,Credit Card,5.4,6.6,0.44,0,0.05,Sometimes,0,,131,3,No,None
CUST00062,32,Female,Delhi,29129,Occasional,1,573.38,474.89,Toys,Mobile,Credit Card,7.9,6.9,0.45,0,0.06,Sometimes,0,,118,1,Yes,Silver
CUST00063,28,Male,Ahmedabad,25778,Occasional,2,387.74,881.21,Beauty,Mobile,UPI,7.1,9.7,0.58,0,0.07,Never,1,4.6,340,0,No,None
CUST00064,38,Female,Ahmedabad,46241,Regular,10,1808.61,16319.93,Sports,Desktop,UPI,9.0,8.1,0.21,1,0.13,Sometimes,0,,163,7,No,None
CUST00065,22,Female,Bangalore,35654,Occasional,3,975.0,2644.38,Sports,Desktop,Credit Card,11.8,5.5,0.62,0,0.07,Rarely,0,,92,3,Yes,Bronze
CUST00066,42,Male,Mumbai,65807,Regular,6,939.33,5617.98,Electronics,Desktop,UPI,8.4,8.1,0.3,0,0.08,Sometimes,0,,60,3,Yes,Silver
CUST00067,18,Male,Chennai,36376,Churned,2,567.44,1252.28,Electronics,Desktop,Debit Card,6.0,8.3,0.68,0,0.2,Rarely,0,,237,5,Yes,None
CUST00068,35,Female,Chennai,35071,Regular,4,813.27,3686.02,Sports,Desktop,Debit Card,4.6,6.9,0.28,0,0.14,Sometimes,0,,141,6,Yes,Bronze
CUST00069,18,Female,Kolkata,31131,Churned,1,2225.23,1816.78,Electronics,Mobile,Wallet,2.0,9.3,0.69,0,0.23,Sometimes,1,4.0,226,0,No,Bronze
CUST00070,25,Male,Mumbai,21140,Occasional,1,1086.84,1042.83,Electronics,Mobile,Wallet,9.2,7.6,0.57,0,0.11,Rarely,0,,330,0,Yes,None
CUST00071,23,Other,Mumbai,80512,Premium,15,4325.48,63752.26,Home & Kitchen,Desktop,UPI,16.6,7.6,0.24,0,0.0,Never,0,,55,14,Yes,None
CUST00072,29,Male,Hyderabad,70653,Regular,4,2601.14,10969.77,Sports,Desktop,Credit Card,10.2,1.2,0.25,0,0.13,Always,1,4.3,55,4,No,Bronze
CUST00073,35,Female,Bangalore,40798,Regular,5,1853.72,7514.05,Clothing,Desktop,COD,12.8,1.0,0.29,0,0.09,Always,1,3.6,141,16,Yes,None
CUST00074,20,Male,Delhi,107549,Premium,17,4053.41,81343.75,Home & Kitchen,Desktop,Credit Card,21.3,10.4,0.22,1,0.06,Never,1,3.3,12,1,Yes,Gold
CUST00075,31,Male,Delhi,27871,Churned,1,264.75,257.52,Home & Kitchen,Desktop,UPI,5.0,1.6,0.7,0,0.2,Never,0,,41,5,No,None
CUST00076,37,Female,Delhi,47883,Occasional,1,1340.66,1499.52,Home & Kitchen,Desktop,UPI,2.7,8.5,0.68,0,0.11,Sometimes,1,4.0,255,0,No,Bronze
CUST00077,48,Male,Mumbai,68535,Regular,10,1904.78,18408.82,Clothing,Mobile,Debit Card,8.0,8.6,0.47,1,0.16,Always,1,3.7,112,10,No,None
CUST00078,18,Female,Mumbai,45794,Regular,3,1619.57,5174.79,Clothing,Mobile,Debit Card,11.0,9.1,0.25,0,0.13,Sometimes,0,,103,2,Yes,Silver
CUST00079,38,Female,Pune,29478,Occasional,4,235.85,1066.28,Sports,Desktop,Wallet,1.0,9.7,0.51,0,0.08,Sometimes,1,3.0,125,2,No,None
CUST00080,36,Female,Mumbai,79293,Regular,5,1173.32,5794.76,Home & Kitchen,Mobile,Wallet,10.0,5.7,0.31,0,0.16,Sometimes,0,,91,12,Yes,Bronze
CUST00081,24,Male,Kolkata,47079,Regular,7,1454.52,10633.14,Home & Kitchen,Desktop,COD,8.4,4.3,0.19,0,0.1,Rarely,0,,42,11,Yes,Silver
CUST00082,38,Female,Delhi,86764,Premium,13,3810.29,42966.14,Clothing,Desktop,Credit Card,12.2,5.6,0.15,0,0.03,Rarely,1,2.7,54,18,No,Gold
CUST00083,35,Female,Mumbai,40086,Occasional,1,886.85,830.93,Clothing,Mobile,UPI,1.0,3.8,0.61,0,0.06,Sometimes,0,,278,1,No,None
CUST00084,49,Male,Kolkata,42936,Regular,10,434.97,4299.87,Grocery,Mobile,Credit Card,7.5,5.5,0.37,1,0.11,Rarely,0,,80,11,Yes,None
CUST00085,41,Male,Delhi,31238,Occasional,5,575.83,2970.57,Clothing,Desktop,UPI,11.1,5.9,0.54,0,0.09,Rarely,0,,150,4,No,None
CUST00086,46,Male,Kolkata,103339,Premium,15,4606.97,67411.41,Sports,Mobile,Debit Card,5.7,10.1,0.06,0,0.02,Sometimes,0,,48,13,Yes,Silver
CUST00087,18,Male,Bangalore,45795,Occasional,3,2139.14,7588.16,Sports,Mobile,Debit Card,10.5,10.5,0.48,0,0.06,Always,1,2.1,304,3,Yes,None
CUST00088,27,Male,Bangalore,38003,Occasional,4,380.76,1650.3,Books,Mobile,Credit Card,8.6,2.5,0.53,0,0.01,Always,1,3.9,313,1,Yes,None
CUST00089,46,Male,Mumbai,74838,Regular,8,249.36,2051.78,Grocery,Mobile,UPI,8.8,2.6,0.34,1,0.17,Never,1,4.3,64,0,Yes,Bronze
CUST00090,34,Female,Chennai,71128,Regular,5,3519.45,14684.09,Electronics,Mobile,Credit Card,11.2,5.6,0.32,0,0.15,Rarely,0,,102,16,Yes,None
CUST00091,37,Male,Ahmedabad,37597,Churned,1,488.92,460.2,Clothing,Mobile,Credit Card,10.8,3.8,0.63,0,0.16,Sometimes,0,,300,3,No,None
CUST00092,32,Male,Kolkata,38617,Churned,1,637.96,649.81,Home & Kitchen,Desktop,Credit Card,12.1,7.6,0.53,0,0.22,Always,1,3.9,89,4,No,Bronze
CUST00093,27,Male,Chennai,34577,Churned,1,786.98,714.62,Home & Kitchen,Mobile,COD,13.3,1.0,0.77,0,0.23,Rarely,1,3.3,106,1,No,None
CUST00094,24,Female,Bangalore,68109,Regular,6,559.39,2715.15,Electronics,Mobile,Credit Card,18.5,9.8,0.44,0,0.09,Rarely,1,4.3,52,3,Yes,None
CUST00095,27,Female,Kolkata,40240,Occasional,4,1313.71,4331.19,Clothing,Mobile,Debit Card,16.2,7.7,0.51,0,0.03,Always,0,,327,4,No,Bronze
CUST00096,42,Female,Chennai,109287,Premium,9,2802.96,23792.36,Home & Kitchen,Tablet,Credit Card,2.1,6.6,0.21,0,0.05,Never,0,,5,19,Yes,Bronze
CUST00097,32,Male,Chennai,43391,Occasional,4,1484.86,6385.55,Clothing,Desktop,Debit Card,1.0,8.4,0.64,0,0.08,Always,0,,179,3,Yes,None
CUST00098,30,Female,Kolkata,35905,Occasional,5,977.62,4603.93,Sports,Mobile,Credit Card,9.5,8.8,0.5,0,0.1,Rarely,0,,182,5,Yes,None
CUST00099,28,Male,Ahmedabad,67695,Regular,6,3275.18,16035.67,Sports,Desktop,Wallet,6.5,5.1,0.4,0,0.12,Always,0,,53,13,Yes,Silver
CUST00100,35,Female,Mumbai,78871,Regular,3,345.6,1083.39,Grocery,Tablet,Credit Card,5.4,7.1,0.49,0,0.13,Never,0,,64,2,No,None
CUST00101,24,Female,Delhi,20344,Churned,2,374.12,803.94,Toys,Desktop,COD,9.8,4.3,0.58,0,0.22,Sometimes,1,2.9,64,2,No,None
CUST00102,18,Male,Hyderabad,60143,Regular,10,213.05,1725.84,Beauty,Mobile,Debit Card,14.1,9.9,0.3,1,0.14,Rarely,0,,46,9,No,Silver
CUST00103,44,Female,Chennai,69356,Regular,6,965.96,5989.93,Clothing,Mobile,UPI,10.8,9.8,0.56,0,0.15,Rarely,0,,136,16,Yes,Silver
CUST00104,36,Female,Mumbai,56350,Regular,3,453.09,1157.19,Books,Mobile,Wallet,8.9,6.1,0.43,0,0.04,Sometimes,0,,30,1,No,Silver
CUST00105,18,Male,Kolkata,31387,Occasional,4,2241.62,9098.61,Sports,Mobile,UPI,12.1,3.0,0.58,0,0.09,Sometimes,0,,77,4,No,None
CUST00106,30,Female,Bangalore,41814,Occasional,3,1300.99,3151.68,Clothing,Mobile,Wallet,4.4,7.6,0.53,0,0.12,Rarely,0,,221,0,Yes,None
CUST00107,21,Male,Pune,24790,Occasional,1,211.54,253.34,Books,Mobile,COD,2.5,1.1,0.71,0,0.08,Always,0,,140,1,No,None
CUST00108,29,Female,Ahmedabad,66300,Regular,7,715.48,4535.8,Clothing,Desktop,UPI,9.8,3.5,0.39,0,0.1,Sometimes,0,,111,18,No,Bronze
CUST00109,31,Female,Mumbai,31923,Occasional,1,174.03,142.26,Grocery,Mobile,Credit Card,1.7,6.1,0.52,0,0.05,Always,0,,92,2,Yes,None
CUST00110,35,Male,Bangalore,51262,Regular,10,1612.67,14943.74,Beauty,Mobile,Wallet,10.3,4.4,0.58,0,0.07,Sometimes,1,4.2,73,2,No,Bronze
CUST00111,41,Male,Delhi,37489,Occasional,3,666.91,1615.7,Clothing,Desktop,UPI,9.0,7.2,0.51,0,0.11,Never,0,,222,3,Yes,Bronze
CUST00112,35,Male,Mumbai,33399,Churned,2,1501.34,2536.53,Electronics,Tablet,COD,3.5,3.7,0.6,0,0.19,Sometimes,1,3.6,36,0,No,None
CUST00113,33,Male,Hyderabad,21139,Churned,1,316.48,363.52,Clothing,Mobile,Wallet,1.0,5.1,0.89,0,0.26,Never,0,,109,4,No,None
CUST00114,51,Male,Mumbai,17645,Churned,2,2231.51,4800.94,Electronics,Desktop,Wallet,5.2,2.3,0.79,0,0.18,Rarely,0,,89,1,No,None
CUST00115,32,Female,Ahmedabad,33844,Occasional,4,1236.51,5432.97,Electronics,Desktop,Wallet,12.9,6.9,0.44,0,0.09,Rarely,0,,283,5,No,None
CUST00116,35,Male,Mumbai,49133,Regular,4,4339.78,17634.9,Electronics,Desktop,UPI,9.3,5.4,0.42,0,0.14,Rarely,0,,155,3,Yes,None
CUST00117,41,Female,Kolkata,137368,Premium,8,3555.37,33278.73,Clothing,Mobile,UPI,16.0,4.8,0.24,0,0.04,Sometimes,0,,2,12,No,Bronze
CUST00118,36,Female,Ahmedabad,29929,Occasional,1,601.02,546.56,Clothing,Desktop,Credit Card,1.1,9.5,0.61,0,0.11,Rarely,0,,337,4,Yes,None
CUST00119,28,Male,Delhi,41489,Occasional,4,1323.17,5062.19,Home & Kitchen,Tablet,Credit Card,11.0,2.5,0.55,0,0.07,Rarely,1,3.6,244,5,Yes,None
CUST00120,30,Male,Mumbai,71556,Regular,10,4329.83,40396.92,Electronics,Desktop,Wallet,11.3,1.0,0.34,0,0.07,Never,0,,124,10,Yes,Silver
CUST00121,42,Male,Ahmedabad,41206,Occasional,3,117.49,381.27,Books,Mobile,Debit Card,11.5,6.5,0.65,0,0.02,Never,1,3.8,214,3,No,None
CUST00122,31,Female,Ahmedabad,26814,Occasional,4,223.97,952.01,Beauty,Mobile,UPI,4.3,3.9,0.58,0,0.08,Rarely,0,,148,5,Yes,None
CUST00123,38,Male,Mumbai,58330,Regular,9,1144.61,11329.93,Home & Kitchen,Desktop,Debit Card,8.3,4.1,0.53,1,0.13,Rarely,0,,154,0,No,None
CUST00124,48,Female,Delhi,44632,Regular,7,517.4,3330.22,Sports,Mobile,Debit Card,10.1,6.0,0.39,0,0.14,Sometimes,0,,98,20,Yes,None
CUST00125,39,Other,Mumbai,66348,Regular,9,869.91,7224.8,Home & Kitchen,Desktop,Credit Card,3.6,6.4,0.35,0,0.11,Always,0,,84,8,Yes,Silver
CUST00126,45,Female,Delhi,44746,Occasional,4,224.98,999.72,Books,Mobile,Debit Card,6.7,6.3,0.51,0,0.05,Sometimes,1,3.2,285,0,Yes,None
CUST00127,28,Male,Pune,18730,Churned,1,96.42,104.6,Books,Desktop,Wallet,3.8,3.6,0.59,0,0.16,Rarely,0,,117,5,No,None
CUST00128,33,Female,Delhi,61810,Regular,7,1095.09,8182.05,Beauty,Mobile,Debit Card,7.1,3.0,0.39,1,0.19,Rarely,0,,59,18,Yes,Bronze
CUST00129,47,Male,Mumbai,68076,Regular,7,687.78,4731.56,Clothing,Mobile,Debit Card,6.4,1.0,0.33,1,0.15,Sometimes,0,,97,2,Yes,Gold
CUST00130,19,Male,Delhi,106179,Premium,12,5862.55,66172.28,Clothing,Mobile,UPI,14.2,10.3,0.2,1,0.09,Rarely,0,,15,8,No,Silver
CUST00131,26,Male,Hyderabad,28480,Occasional,3,522.79,1393.58,Clothing,Desktop,UPI,12.8,11.0,0.59,0,0.06,Sometimes,1,3.6,47,4,Yes,None
CUST00132,42,Female,Chennai,17059,Churned,2,115.25,247.1,Toys,Tablet,Credit Card,8.2,6.2,0.71,0,0.23,Rarely,1,3.5,208,3,No,None
CUST00133,22,Female,Delhi,33656,Occasional,4,863.81,3298.23,Beauty,Tablet,Debit Card,10.3,5.8,0.65,0,0.05,Sometimes,0,,224,2,Yes,Gold
CUST00134,35,Male,Pune,75096,Regular,3,2616.43,9078.1,Home & Kitchen,Tablet,Debit Card,11.6,8.1,0.4,0,0.17,Rarely,1,2.8,96,5,No,Silver
CUST00135,18,Male,Hyderabad,36360,Occasional,3,1104.71,3975.48,Clothing,Mobile,UPI,8.5,5.2,0.63,0,0.06,Sometimes,0,,76,0,Yes,None
CUST00136,42,Male,Pune,26733,Occasional,3,120.87,342.26,Toys,Desktop,Wallet,4.7,5.3,0.59,0,0.05,Sometimes,0,,136,0,No,None
CUST00137,36,Female,Delhi,75828,Regular,10,852.89,9777.79,Beauty,Desktop,UPI,9.0,9.3,0.49,1,0.16,Never,0,,71,14,Yes,Bronze
CUST00138,38,Female,Ahmedabad,27555,Churned,1,764.74,791.23,Home & Kitchen,Mobile,Debit Card,11.5,4.1,0.69,0,0.2,Rarely,0,,259,5,No,Bronze
CUST00139,35,Male,Kolkata,64584,Regular,5,2227.26,11922.03,Clothing,Mobile,Credit Card,12.0,3.6,0.41,0,0.15,Sometimes,0,,108,16,No,Silver
CUST00140,25,Male,Ahmedabad,41260,Occasional,1,1568.36,1392.11,Sports,Desktop,Debit Card,1.0,5.7,0.5,0,0.05,Rarely,1,2.8,82,2,Yes,None
CUST00141,30,Male,Chennai,39632,Regular,7,836.46,5127.48,Clothing,Mobile,UPI,5.4,8.8,0.35,0,0.12,Sometimes,1,3.5,137,11,No,None
CUST00142,26,Female,Chennai,29215,Churned,1,2085.38,1836.8,Electronics,Mobile,Debit Card,10.5,6.4,0.73,0,0.17,Rarely,1,3.4,271,2,Yes,None
CUST00143,46,Male,Mumbai,34351,Churned,1,81.27,73.36,Books,Mobile,UPI,6.2,7.9,0.6,0,0.27,Always,0,,330,2,No,Silver
CUST00144,50,Female,Pune,113494,Premium,11,565.69,6929.52,Grocery,Mobile,Debit Card,17.7,7.4,0.37,1,0.12,Never,0,,4,20,No,None
CUST00145,32,Female,Bangalore,105338,Premium,18,7610.49,122501.92,Sports,Desktop,Credit Card,20.9,7.5,0.26,1,0.08,Rarely,0,,30,5,Yes,Gold
CUST00146,18,Male,Mumbai,76119,Regular,8,1761.4,12826.05,Sports,Mobile,Credit Card,8.5,6.3,0.41,1,0.14,Rarely,1,3.5,32,5,No,None
CUST00147,36,Female,Hyderabad,66146,Regular,10,2487.65,25075.43,Sports,Mobile,Wallet,5.8,11.1,0.43,1,0.1,Sometimes,1,3.2,93,17,No,Bronze
CUST00148,44,Male,Mumbai,34291,Churned,2,131.36,285.57,Toys,Mobile,COD,7.3,4.2,0.87,0,0.21,Sometimes,0,,243,5,Yes,None
CUST00149,34,Female,Hyderabad,110943,Premium,10,248.39,2495.59,Grocery,Mobile,UPI,9.6,6.4,0.25,0,0.03,Rarely,0,,41,15,Yes,None
CUST00150,31,Female,Delhi,79818,Regular,9,428.83,3619.3,Toys,Mobile,Credit Card,9.8,5.4,0.33,1,0.15,Sometimes,1,3.9,80,0,Yes,None
CUST00151,38,Male,Bangalore,43158,Churned,2,1227.67,2697.67,Electronics,Mobile,COD,7.8,5.2,0.67,0,0.19,Sometimes,1,3.0,183,0,No,Bronze
CUST00152,36,Female,Kolkata,29791,Occasional,4,1164.04,5424.08,Electronics,Desktop,UPI,11.9,4.3,0.52,0,0.12,Sometimes,1,3.1,193,5,Yes,Bronze
CUST00153,43,Male,Kolkata,70449,Regular,7,655.67,3859.61,Clothing,Mobile,Credit Card,5.6,2.6,0.47,1,0.15,Rarely,0,,53,16,Yes,Gold
CUST00154,38,Male,Ahmedabad,114164,Premium,13,4642.61,52902.45,Beauty,Mobile,Wallet,16.8,4.2,0.25,0,0.06,Sometimes,0,,36,18,Yes,Bronze
CUST00155,39,Female,Hyderabad,48904,Occasional,2,584.48,1216.95,Sports,Desktop,UPI,6.8,8.1,0.4,0,0.07,Sometimes,0,,116,0,No,None
